"","HẠNG MỤC","LOẠI KIẾN THỨC","LINK NGUỒN HỌC TẬP","Tháng 1","Tháng 2","Tháng 3","Tháng 4","Tháng 5","Tháng 6","Tháng 7","Tháng 8","Tháng 9","","","","","","","","","","","","","","","","","","","",""
"","Khóa học SEO Miễn Phí","Moz SEO Learning Center"," https://moz.com/learn/seo","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Digital Garage","https://learndigital.withgoogle.com/digitalgarage/course/digital-marketing","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SEMrush Academy"," https://www.semrush.com/academy/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","HubSpot SEO Training Course"," https://academy.hubspot.com/courses/seo-training","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Yoast SEO Training"," https://yoast.com/academy/free-seo-course/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SEO Fundamentals by ClickMinded"," https://www.clickminded.com/seo-course/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Udemy SEO Training Course","https://www.udemy.com/topic/seo/?price=price-free&sort=popularity","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Coursera SEO Courses"," https://www.coursera.org/courses?query=seo","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Search Engine Land's Guide to SEO"," https://searchengineland.com/guide/seo","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Backlinko SEO Training"," https://backlinko.com/seo-training","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Khóa học HERO SEO - Foundation 2022","https://drive.google.com/drive/folders/1pZxP0icNsqUm4LLuGzhMFe27QkaKsHGt?fbclid=IwAR2wS3IMU8aUwvargJcBvluIUPMBZVJACX0d_p0QHhs9uI7_PDYUD1Y3z9o","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Thuật Ngữ Cơ Bản","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SERP","https://www.searchenginejournal.com/what-is-serp-search-engine-results-page/207409/
https://moz.com/learn/seo/serp-features
https://www.searchenginejournal.com/serp-features-guide/271359/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","CTR","https://www.wordstream.com/click-through-rate
https://ahrefs.com/blog/increase-organic-ctr/
https://www.semrush.com/blog/increase-ctr-organic-results/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ROI","https://www.digitaldoughnut.com/articles/2021/april-2021/what-is-roi-in-seo-and-how-to-measure-it
https://www.searchenginejournal.com/seo-roi/305707/
https://moz.com/blog/the-roi-of-seo","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Indexing","https://www.searchenginejournal.com/what-is-indexing-in-seo/371814/
https://www.searchenginejournal.com/google-indexing-guide/278197/
https://www.semrush.com/blog/indexing-for-seo/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Title tag","https://moz.com/learn/seo/title-tag
https://www.searchenginejournal.com/title-tag-seo/374622/
https://ahrefs.com/blog/title-tag-seo/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meta description","https://www.searchenginejournal.com/meta-description/320699/
https://www.searchenginejournal.com/meta-description-optimization/388251/
https://yoast.com/meta-descriptions/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Anchor text","https://www.semrush.com/blog/anchor-text/
https://moz.com/learn/seo/anchor-text
https://www.searchenginejournal.com/anchor-text-seo/389483/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Links","https://www.searchenginejournal.com/link-building/why-links-are-important-for-seo/
https://ahrefs.com/blog/link-building/
https://www.searchenginejournal.com/link-building-strategies/245433/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Headings","https://www.semrush.com/blog/h1-tag-for-seo/
https://moz.com/learn/seo/header-tags
https://www.searchenginejournal.com/heading-tags-seo-guide/376251/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Traffic","https://www.searchenginejournal.com/traffic-in-seo/383235/
https://neilpatel.com/blog/drive-traffic-to-your-website/
https://www.searchenginejournal.com/increase-website-traffic-guide/404073/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Headings","https://www.searchenginejournal.com/heading-tags-seo/388262/
https://ahrefs.com/blog/h1-tag/
https://www.searchenginejournal.com/h1-tag-seo/389927/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Customer Journey","https://moz.com/blog/customer-journey-seo
https://www.searchenginejournal.com/optimize-seo-customer-journey/267777/
 https://neilpatel.com/blog/seo-customer-journey/
https://www.semrush.com/blog/seo-for-customer-journey/
https://searchengineland.com/using-seo-to-influence-the-customer-journey-323292","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Topic Cluster","https://blog.hubspot.com/marketing/topic-clusters-seo
 https://moz.com/blog/topic-clusters
https://www.searchenginejournal.com/topic-clusters-seo/287635/
https://www.semrush.com/blog/how-to-use-topic-clusters-to-boost-your-seo-rankings/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Thuật Toán Google","Google Panda","https://moz.com/blog/google-panda-recovery-guide
https://www.semrush.com/blog/google-panda-guide/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Penguin","https://www.searchenginejournal.com/google-penguin-guide/65737/
https://moz.com/blog/google-penguin-4-live","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Hummingbird","https://moz.com/blog/google-hummingbird-guide-seo
https://www.searchenginejournal.com/google-hummingbird/363171/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Pigeon","https://www.semrush.com/blog/google-pigeon-update/
https://searchengineland.com/library/google/google-pigeon-update","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Mobilegeddon","https://moz.com/blog/surviving-googles-mobilegeddon
https://www.searchenginejournal.com/mobilegeddon-faq/227101/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google RankBrain","https://backlinko.com/google-rankbrain-seo
https://neilpatel.com/blog/rankbrain/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Possum","https://www.semrush.com/blog/google-possum-update/
https://moz.com/blog/googles-possum-algorithm-what-you-need-to-know","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Fred","https://www.searchenginejournal.com/google-fred-algorithm-update/187919/
https://moz.com/blog/google-fred-algorithm-update","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Medic","https://www.semrush.com/blog/google-medic-update/
https://searchengineland.com/google-medic-update-what-you-can-do-to-fix-your-rankings-303538","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google BERT","https://moz.com/blog/google-bert
https://www.searchenginejournal.com/google-bert-complete-guide/337905/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Core Updates","https://moz.com/blog/google-core-web-vitals
https://neilpatel.com/blog/google-core-web-vitals/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Mobile-First Indexing","https://www.searchenginejournal.com/mobile-first-indexing/348115/
https://www.semrush.com/blog/mobile-first-indexing-guide/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google PageRank","https://moz.com/learn/seo/google-pagerank
https://www.searchenginejournal.com/google-pagerank-explained/285777/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Knowledge Graph","https://www.semrush.com/blog/google-knowledge-graph/
https://searchengineland.com/the-google-knowledge-graph-101-132018","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Cấu trúc URL","https://youtu.be/r6ctgHStRwo","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Content SEO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Keyword Research","https://neilpatel.com/blog/keyword-research-beginners-guide/
https://backlinko.com/keyword-research-guide
https://www.searchenginejournal.com/keyword-research-guide/378097/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Keyword Grouping","https://moz.com/blog/keyword-grouping-for-seo
https://ahrefs.com/blog/keyword-grouping/
https://www.searchenginejournal.com/advanced-keyword-grouping-strategies/275717/
https://yoast.com/keyword-grouping-seo/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Content Writer","https://moz.com/beginners-guide-to-content-writing
https://blog.hubspot.com/marketing/content-writing-tips-beginners
https://neilpatel.com/blog/ultimate-beginners-guide-writing-effective-website-content/
https://contentmarketinginstitute.com/2018/08/content-writing-beginners-tips/
https://www.socialmediatoday.com/content/content-writing-101-beginners-guide-creating-engaging-content","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Audit Content","https://yoast.com/ultimate-guide-content-seo-audits/
https://moz.com/blog/perform-seo-content-audit
https://www.searchenginejournal.com/ultimate-content-audit-guide-seo/366678/
https://www.cognitiveseo.com/blog/21238/content-audit-for-seo/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Công cụ Content SEO","Duplicate Content","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Google Keyword Planner","https://ads.google.com/home/tools/keyword-planner/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","BuzzSumo","https://buzzsumo.com/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Grammarly","https://www.grammarly.com/","","","","","c","","","","","","","","","","","","","","","","","","","","","","","",""
"","","CoSchedule Headline Analyzer","https://coschedule.com/headline-analyzer","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Hemingway Editor","https://hemingwayapp.com/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Answer the Public","https://answerthepublic.com/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Copyscape","https://www.copyscape.com/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","





























ONPAGE SEO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Title Tag","https://www.searchenginejournal.com/title-tags-seo/200825/
https://ahrefs.com/blog/title-tags-seo/
https://www.wordstream.com/blog/ws/2019/03/20/title-tags","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meta Description","https://blog.hubspot.com/marketing/meta-description
https://www.searchenginejournal.com/meta-description-seo/253897/
https://www.searchenginejournal.com/meta-description-best-practices/315369/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Heading Tags","https://www.searchenginejournal.com/heading-tags-seo/388441/
https://www.searchenginejournal.com/how-to-use-heading-tags/257937/
https://www.bruceclay.com/blog/h1-tag-seo-best-practices-proper-use-of-heading-tags/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","URL Structure","https://www.searchenginejournal.com/seo-friendly-url-structure/275097/
https://www.wordstream.com/blog/ws/2015/07/07/url-structure-seo
https://ahrefs.com/blog/url-structure/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Image Optimization","https://www.searchenginejournal.com/image-optimization-seo/285559/
https://ahrefs.com/blog/image-optimization/
https://www.bruceclay.com/blog/image-seo/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Alt Text","https://www.searchenginejournal.com/alt-text-seo/398395/
https://www.wordstream.com/blog/ws/2014/08/14/alt-text-seo
https://ahrefs.com/blog/alt-text/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Internal Linking","https://moz.com/learn/seo/internal-link
https://www.searchenginejournal.com/internal-linking-seo-guide/271973/
https://ahrefs.com/blog/internal-linking/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","External Linking","https://www.searchenginejournal.com/external-links-seo/387619/
https://www.wordstream.com/blog/ws/2019/01/03/external-linking-seo
https://ahrefs.com/blog/build-backlinks/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Anchor Text","https://www.searchenginejournal.com/anchor-text-seo/321633/
https://www.searchenginejournal.com/anchor-text-optimization/207048/
https://ahrefs.com/blog/anchor-text/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Canonical Tags","https://www.searchenginejournal.com/canonical-tags-guide/297649/
https://moz.com/learn/seo/canonicalization
https://ahrefs.com/blog/canonical-tags/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","XML Sitemap","https://www.searchenginejournal.com/xml-sitemaps-seo/253343/
https://ahrefs.com/blog/xml-sitemaps/
https://www.bruceclay.com/blog/xml-sitemaps/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Robots.txt","https://www.searchenginejournal.com/robots-txt-guide/283595/
https://ahrefs.com/blog/robots-txt/
https://www.bruceclay.com/blog/robots-txt/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Pagination","https://www.searchenginejournal.com/pagination-seo-best-practices/327411/
https://ahrefs.com/blog/pagination/
https://www.bruceclay.com/blog/seo-pagination/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Breadcrumbs","https://www.searchenginejournal.com/breadcrumb-navigation-seo/299717/
https://ahrefs.com/blog/breadcrumbs-seo/
https://www.semrush.com/blog/breadcrumbs-seo-best-practices/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Site Speed Optimization","https://ahrefs.com/blog/site-speed-optimization/
https://www.searchenginejournal.com/website-speed-optimization-guide/389662/
https://www.searchenginejournal.com/improve-website-speed/291311/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mobile Responsiveness","https://backlinko.com/mobile-seo-guide
https://www.searchenginejournal.com/mobile-friendly-websites-seo/350754/
https://ahrefs.com/blog/mobile-seo/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SSL Certificate","https://www.searchenginejournal.com/ssl-certificate-seo/248037/
https://ahrefs.com/blog/ssl-certificates/
https://www.wpbeginner.com/wp-tutorials/how-to-add-ssl-and-https-in-wordpress/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Structured Data Markup (Schema.org)","https://www.searchenginejournal.com/structured-data-seo-guide/389171/
https://ahrefs.com/blog/structured-data/
https://www.searchenginejournal.com/schema-seo-guide/411411/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
